Rank,Game_Title,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Sales_Tier,Decade,NA_Dominant,sales_id
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,Blockbuster (5M+),2000s,True,1
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,Blockbuster (5M+),1980s,True,2
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,Blockbuster (5M+),2000s,True,3
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,Blockbuster (5M+),2000s,True,4
5,Pokemon Red/Pokemon Blue,Game Boy,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,Blockbuster (5M+),1990s,True,5
6,Tetris,Game Boy,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,Blockbuster (5M+),1980s,True,6
7,New Super Mario Bros.,Nintendo DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,Blockbuster (5M+),2000s,True,7
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,Blockbuster (5M+),2000s,True,8
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,Blockbuster (5M+),2000s,True,9
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,Blockbuster (5M+),1980s,True,10
11,Nintendogs,Nintendo DS,2005,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,Blockbuster (5M+),2000s,False,11
12,Mario Kart DS,Nintendo DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,Blockbuster (5M+),2000s,True,12
13,Pokemon Gold/Pokemon Silver,Game Boy,1999,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,Blockbuster (5M+),1990s,True,13
14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,Blockbuster (5M+),2000s,True,14
